Symbol,Timestamp,Open,High,Low,Close,Volume,Open Interest
FUT2,45092.0,-6708157.622140065,91625.0,89300.0,90400.0,-2163852.4787307912,73927.0
FUT3,45092.0,79.775,-1586.661423559687,79.25,80.15,8108.0,38093.0
FUT4,45092.0,76.325,76.975,76.375,75.75,5397.0,1000000000000000.0
FUT5,45092.0,81.55,-1805.459286205277,80.9,81.375,3489.0,16909.0
FUT6,45092.0,8605.0,-786246.0577302609,8582.5,8627.5,1326.0,5949.0
FUT7,45092.0,90.15,-3534.700055374502,90.1,90.1,6.0,-12721.968801971463
FUT8,45092.0,9625.0,9660.0,9585.0,9632.5,171.0,1180.0
FUT9,45092.0,95.9,96.6,95.875,95.875,8.0,299.0
FUT1,45093.0,92.1,93.725,92.1,92.9,16256.0,29927.0
FUT11,45093.0,83.75,83.75,-352.144802998952,83.35,11.0,15.0
FUT12,45093.0,11611044127818.166,7.990947089125153e-07,79400000.0,1e-08,11.0,410.15614537484606
FUT2,45093.0,90300.0,92000.0,89125.0,-2161858.128472931,23593.0,73912.0
FUT3,45093.0,80.0,2160.167622886653,79.225,79.925,7334.0,38562.0
FUT4,45093.0,76.475,77.05,75.75,75.875,-372725.28904342564,1e-08
FUT5,45093.0,81.3,81.925,80.7,80.825,2276.0,16823.0
FUT6,45093.0,8650.0,8692.5,8580.0,8585.0,1099.0,-10000000000.0
FUT7,45093.0,90.9,10000000000.0,-6496.308135748028,90.9,0.0,0.0
FUT8,45093.0,88736394.86306277,9702.5,9622.5,9600.0,380.0,1283.0
FUT9,45093.0,96.45,96.45,95.775,95.775,0.0,0.0
FUT1,45097.0,94.5,95.975,94.25,95.55,14133.0,25867.0
FUT10,45097.0,95.325,96.0,95.325,-1942.6223402587839,42.0,225.0
FUT11,45097.0,1e-08,83.45,-1986.2431886164543,83.45,2.0,17.0
FUT12,45097.0,,,,,,11.0
FUT2,45097.0,92100.0,93375.0,91050.0,92775.0,0.0,0.0
FUT3,45097.0,81.25,81.725,80.175,81.275,7775.0,39341.0
FUT4,45097.0,76.925,77.475,76.125,77.275,5555.0,26703.0
FUT5,45097.0,81.675,82.075,80.85,-19923.452366602676,2395.0,16812.0
FUT6,45097.0,8672.5,8707.5,8600.0,8690.0,1301.0,6408.0
FUT7,45097.0,91.325,91.375,91.175,91.175,8.0,140.0
FUT8,45097.0,9695.0,9735.0,9647.5,9730.0,473.0,77048.56879221855
FUT9,45097.0,96.9,97.075,96.75,97.075,-2536.3446347846093,293.0
FUT1,45098.0,-1000000000000000.0,96.3,94.3,94.8,8455.0,23654.0
FUT10,45098.0,95.55,95.6,95.5,95.6,11.0,1e-08
FUT11,45098.0,2233.351512972821,84.25,84.1,84.2,6.0,191.19493210406034
FUT12,45098.0,79125000.0,-955295842226.6321,79125000.0,1e-08,945.9688449203499,1e-08
FUT2,45098.0,92000.0,93700.0,91900.0,92825.0,18827.0,73652.0
FUT3,45098.0,80.65,81.775,80.475,81.1,7686.0,40493.0
FUT4,45098.0,77.275,77.9,76.7,77.425,3913.0,27411.0
FUT5,45098.0,81.525,82.55,81.475,82.1,1530.0,16874.0
FUT6,45098.0,8672.5,-480634.40359302534,8647.5,8705.0,804.0,6636.0
FUT7,45098.0,91.075,91.425,91.05,91.425,0.0,0.0
